,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.95,13.6,14.2,4.4,51.1%,15.7%,191,11.1%,"32,844"
1,Reyna,1.14,16.9,14.8,4.4,50.7%,14.8%,248,15.8%,"31,008"
2,Jett,1.10,16.9,15.3,4.1,52.4%,12.1%,243,17.3%,"25,194"
3,Omen,0.98,14.8,15.1,4.7,50.6%,8.4%,209,12.2%,"17,544"
4,Raze,0.99,15.4,15.6,5.2,54.3%,8%,229,15.3%,"16,728"
5,Killjoy,0.96,13.6,14.2,4.4,52.8%,7.4%,201,10.6%,"15,555"
6,Sova,0.94,13.5,14.3,5.6,50.3%,7.2%,202,11.4%,"14,994"
7,Viper,0.92,13.8,14.9,5.3,49.8%,5%,195,10.9%,"10,353"
8,Phoenix,1.01,15.2,15.1,4.2,52.3%,4.7%,224,15.9%,"9,843"
9,Brimstone,0.96,13.8,14.5,6.1,49.1%,4.1%,200,12.4%,"8,619"
10,Skye,0.96,14.2,14.9,4.2,54.5%,3.5%,201,14.2%,"7,293"
11,Cypher,0.96,14.4,14.9,4.5,45%,3.2%,201,10%,"6,681"
12,Breach,0.96,14.2,14.8,5.1,57.6%,2.4%,203,13.4%,"5,049"
13,Yoru,1.04,15.2,14.6,3.5,44.9%,2.4%,225,16.4%,"4,998"
14,Astra,0.94,14.2,15.1,4.7,50%,1.1%,192,10.7%,"2,244"
