,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.12,17.1,15.2,3.9,47.1%,17.3%,244,15.9%,"14,076"
1,Jett,1.14,17.5,15.4,3.7,55.4%,16.2%,247,18.4%,"13,158"
2,Sage,0.99,14.3,14.4,4.7,53.3%,12.4%,196,9.9%,"10,047"
3,Omen,1.01,15.0,14.9,5.3,55.8%,8.1%,211,12.9%,"6,579"
4,Sova,1.01,14.0,13.9,5.6,51.7%,7.5%,201,10.7%,"6,120"
5,Raze,1.00,15.8,15.8,4.9,42.9%,7.5%,231,15.3%,"6,069"
6,Killjoy,1.05,14.6,13.9,4.1,52.9%,6.5%,214,10%,"5,304"
7,Viper,0.99,13.5,13.7,5.1,56.8%,4.6%,196,11.4%,"3,774"
8,Cypher,0.99,13.9,14.1,3.6,52.1%,4.6%,194,11.4%,"3,723"
9,Phoenix,0.94,14.2,15.2,3.6,47.2%,4.5%,217,18.4%,"3,672"
10,Brimstone,0.98,14.5,14.7,7.2,52.9%,3.2%,204,11%,"2,601"
11,Skye,0.93,13.5,14.5,3.6,35.3%,3.2%,196,11.9%,"2,601"
12,Breach,1.03,14.8,14.4,4.8,54.5%,2.1%,210,12.5%,"1,683"
13,Astra,1.01,15.5,15.4,4.8,42.1%,1.2%,199,8.8%,969
14,Yoru,0.90,14.1,15.6,3.9,52.6%,1.2%,213,14.2%,969
