,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.16,17.7,15.2,4.3,52.9%,15.1%,253,16.9%,"13,872"
1,Jett,1.10,16.8,15.3,3.6,48.7%,14.8%,244,19%,"13,617"
2,Sage,1.00,14.1,14.1,4.3,57.2%,13.9%,197,11.1%,"12,750"
3,Omen,0.95,14.5,15.2,5.0,46.8%,10.4%,201,12.6%,"9,588"
4,Raze,1.03,16.4,15.9,5.1,55%,7.8%,243,16.1%,"7,140"
5,Sova,0.94,14.3,15.3,5.9,35.3%,6.4%,201,10.1%,"5,916"
6,Killjoy,0.97,13.4,13.9,4.3,49%,5.6%,201,9.5%,"5,100"
7,Cypher,1.02,14.8,14.5,4.1,53.5%,4.8%,202,10.6%,"4,386"
8,Brimstone,0.96,14.3,15.0,6.5,48.1%,4.5%,203,9.5%,"4,131"
9,Phoenix,0.91,14.2,15.6,4.0,34.7%,4.2%,215,17.5%,"3,825"
10,Viper,0.98,14.5,14.8,5.1,43.1%,4%,204,12.6%,"3,672"
11,Skye,0.94,14.3,15.1,3.9,39.7%,3.2%,200,12.9%,"2,958"
12,Yoru,1.00,15.8,15.7,3.4,28.9%,2.1%,215,13.4%,"1,938"
13,Breach,0.84,13.2,15.6,5.9,38.7%,1.7%,194,16.7%,"1,581"
14,Astra,1.06,15.6,14.7,4.8,51.9%,1.5%,208,11.6%,"1,377"
