,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.03,16.6,16.1,3.8,50%,20.4%,224,21.7%,"1,020"
1,Sova,1.09,14.4,13.2,7.1,47.1%,17.3%,204,8.2%,867
2,Reyna,1.12,18.5,16.6,4.4,61.5%,13.3%,245,13.7%,663
3,Cypher,1.23,16.9,13.8,4.5,62.5%,8.2%,216,9.6%,408
4,Raze,1.09,15.8,14.5,4.4,50%,8.2%,251,14.3%,408
5,Killjoy,0.95,13.3,14.0,4.7,71.4%,7.1%,179,6.5%,357
6,Omen,0.94,13.0,13.9,7.3,57.1%,7.1%,188,13.2%,357
7,Brimstone,1.26,17.7,14.0,6.3,66.7%,6.1%,234,6.6%,306
8,Sage,1.06,17.6,16.6,3.4,0%,5.1%,223,18.2%,255
9,Astra,1.05,15.0,14.3,5.3,50%,4.1%,203,0%,204
10,Viper,0.92,12.0,13.0,4.0,0%,1%,159,25%,51
11,Skye,0.72,13.0,18.0,7.0,100%,1%,153,7.7%,51
12,Breach,0.94,17.0,18.0,12.0,100%,1%,223,17.6%,51
