,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.11,12.6,11.4,1.1,54.8%,26.1%,182,48.1%,"11,730"
1,Reyna,1.15,15.1,13.1,2.3,53.5%,13%,223,30.7%,"5,814"
2,Raze,0.97,11.3,11.6,2.1,49.3%,8.3%,180,36.3%,"3,723"
3,Sage,0.83,10.3,12.4,2.6,46.2%,7.4%,154,25.9%,"3,315"
4,Phoenix,0.81,10.3,12.7,2.2,57.4%,6.9%,157,38.5%,"3,111"
5,Sova,0.97,11.4,11.8,3.5,44.1%,6.7%,167,25.7%,"3,009"
6,Omen,0.84,9.9,11.8,2.8,54%,5.7%,163,25.4%,"2,550"
7,Killjoy,1.01,11.7,11.6,2.7,55.8%,4.9%,189,16.9%,"2,193"
8,Yoru,0.87,11.5,13.2,1.6,36.6%,4.7%,186,33.3%,"2,091"
9,Skye,1.01,10.7,10.6,2.1,64.7%,3.9%,167,30.5%,"1,734"
10,Cypher,1.02,11.2,11.0,2.0,50%,3%,170,31.5%,"1,326"
11,Breach,0.89,10.3,11.5,3.7,65.4%,3%,153,23.5%,"1,326"
12,Viper,0.75,8.6,11.3,2.5,47.8%,2.6%,149,22.3%,"1,173"
13,Astra,1.06,12.4,11.6,3.0,47.4%,2.2%,205,21.3%,969
14,Brimstone,0.99,11.4,11.5,3.6,68.8%,1.8%,171,36.1%,816
