,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.08,4.6,4.2,1.2,49.9%,15.6%,228,16.5%,"57,936"
1,Raze,1.08,4.5,4.1,1.5,50.8%,14.5%,232,14.8%,"53,601"
2,Reyna,1.10,4.4,4.0,1.2,49.2%,12.8%,221,14.7%,"47,328"
3,Sage,0.93,3.6,3.9,1.2,51.8%,8.6%,176,11.6%,"32,028"
4,Phoenix,1.03,4.1,4.0,1.1,49.6%,7.7%,207,14.9%,"28,611"
5,Sova,0.93,3.7,3.9,1.6,51.1%,7.1%,186,10.3%,"26,367"
6,Yoru,0.85,3.5,4.1,0.9,49.5%,6.4%,171,13%,"23,715"
7,Killjoy,0.97,3.7,3.8,1.3,53.6%,5.3%,187,9.6%,"19,788"
8,Omen,0.82,3.4,4.1,1.1,48.3%,4.4%,169,12.9%,"16,167"
9,Viper,0.91,3.6,3.9,1.1,47.6%,3.8%,177,13.4%,"14,025"
10,Skye,0.98,4.0,4.1,1.3,49.5%,3.8%,196,11.6%,"14,025"
11,Breach,0.87,3.7,4.2,1.4,48.1%,3.3%,182,14.1%,"12,393"
12,Cypher,0.90,3.5,3.9,1.2,45.1%,3.1%,171,6.8%,"11,526"
13,Brimstone,0.83,3.4,4.0,1.8,52.7%,2.8%,169,17.8%,"10,557"
14,Astra,0.83,3.4,4.1,0.9,45.3%,0.7%,162,12.3%,"2,703"
