,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.08,13.7,12.7,3.3,48.8%,13.3%,230,17.6%,"86,292"
1,Sage,0.91,10.8,11.8,3.6,50.7%,13.1%,178,11.6%,"85,272"
2,Reyna,1.13,14.1,12.5,3.6,51%,12.7%,238,16%,"82,518"
3,Raze,1.00,12.6,12.6,4.2,51.7%,9.7%,223,14.7%,"63,393"
4,Sova,0.98,11.8,12.0,4.8,49.3%,8.6%,200,10.5%,"55,692"
5,Killjoy,0.97,11.4,11.8,3.8,54.3%,6.7%,195,10.2%,"43,554"
6,Phoenix,0.98,12.0,12.3,3.4,51.1%,6.6%,206,15.4%,"42,942"
7,Omen,1.00,12.2,12.2,4.0,48.4%,6.3%,205,13%,"40,953"
8,Yoru,0.94,12.1,12.9,3.0,45.2%,4.5%,200,15.1%,"29,019"
9,Viper,0.90,11.1,12.4,4.1,45.1%,4.3%,185,11.3%,"27,948"
10,Cypher,0.99,11.7,11.9,3.7,52.2%,4.1%,192,10.9%,"26,367"
11,Skye,0.93,11.1,12.0,3.3,47.4%,3.4%,187,11.8%,"21,930"
12,Brimstone,0.94,11.8,12.6,5.1,52%,3.2%,199,12.6%,"20,706"
13,Breach,0.96,11.9,12.5,4.4,47%,2.5%,202,14.3%,"16,065"
14,Astra,1.07,13.2,12.3,3.9,50.9%,1.2%,207,11.4%,"8,109"
