,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.08,17.9,16.5,3.8,43.1%,15.3%,251,18.2%,"2,601"
1,Reyna,1.09,17.2,15.8,3.9,51%,14.7%,250,16.9%,"2,499"
2,Sage,0.92,13.5,14.7,4.9,48.9%,13.5%,193,14.3%,"2,295"
3,Omen,0.98,15.8,16.1,5.6,52.9%,10.2%,208,11.9%,"1,734"
4,Raze,1.01,15.8,15.6,5.3,50%,7.8%,238,16%,"1,326"
5,Sova,1.07,16.1,15.0,6.7,65.4%,7.8%,214,8.6%,"1,326"
6,Killjoy,1.08,14.5,13.5,3.6,60%,7.5%,208,8.8%,"1,275"
7,Phoenix,0.95,13.9,14.7,3.5,26.3%,5.7%,217,14%,969
8,Cypher,0.92,14.1,15.3,3.4,33.3%,5.4%,189,8.3%,918
9,Brimstone,0.99,15.3,15.5,6.4,50%,4.8%,203,15.5%,816
10,Skye,0.87,13.4,15.5,4.0,50%,3.6%,184,11.8%,612
11,Viper,0.97,16.3,16.8,6.0,66.7%,1.8%,207,9.2%,306
12,Breach,0.73,11.3,15.5,5.0,75%,1.2%,164,13.3%,204
13,Astra,0.58,9.0,15.5,5.5,0%,0.6%,145,5.6%,102
14,Yoru,1.00,19.0,19.0,7.0,100%,0.3%,242,31.6%,51
