,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.03,12.1,11.7,2.0,50%,14.1%,201,27.5%,"2,040"
1,Reyna,1.28,15.7,12.3,2.5,47.5%,14.1%,207,26.3%,"2,040"
2,Sage,0.90,11.2,12.4,3.1,55.3%,13.4%,177,15%,"1,938"
3,Raze,0.87,13.3,15.4,3.3,43.3%,10.6%,176,22.8%,"1,530"
4,Omen,0.91,11.9,13.1,2.7,52.9%,6%,186,22.7%,867
5,Phoenix,0.75,10.0,13.4,2.1,46.7%,5.3%,116,42%,765
6,Brimstone,1.15,13.6,11.9,4.7,53.3%,5.3%,207,12.3%,765
7,Yoru,0.97,12.7,13.1,1.6,60%,5.3%,143,38.7%,765
8,Cypher,0.78,11.4,14.6,2.9,42.9%,4.9%,153,31.3%,714
9,Killjoy,1.05,12.9,12.3,3.0,53.8%,4.6%,189,20.2%,663
10,Sova,1.16,12.5,10.8,4.2,61.5%,4.6%,223,17.8%,663
11,Viper,1.04,11.4,11.0,3.3,50%,4.2%,211,13.1%,612
12,Skye,1.20,13.8,11.4,5.1,55.6%,3.2%,135,20.2%,459
13,Astra,0.77,9.3,12.0,2.0,42.9%,2.5%,164,29.2%,357
