,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.07,4.5,4.2,1.2,51.2%,15.7%,223,16.3%,"61,251"
1,Raze,1.03,4.3,4.2,1.3,49.6%,14.6%,220,15.1%,"57,018"
2,Reyna,1.12,4.6,4.1,1.2,51.3%,12.7%,224,14.9%,"49,572"
3,Sage,0.92,3.6,3.9,1.2,53.2%,8.9%,175,12.1%,"34,884"
4,Phoenix,0.98,4.0,4.1,1.0,49.4%,7.5%,200,15.8%,"29,427"
5,Yoru,0.91,3.8,4.2,1.0,48.3%,6.5%,184,13.1%,"25,245"
6,Sova,0.89,3.6,4.0,1.4,47.7%,6%,180,10.3%,"23,307"
7,Killjoy,0.96,3.8,4.0,1.2,51%,5.2%,194,10.6%,"20,400"
8,Omen,0.95,3.9,4.1,1.1,48.6%,4.3%,189,11%,"16,779"
9,Skye,1.00,4.1,4.1,1.1,52.1%,4.3%,195,11.8%,"16,626"
10,Viper,0.77,3.3,4.3,1.2,41.9%,3.9%,161,12.1%,"15,198"
11,Breach,0.95,3.8,4.0,1.3,47.4%,3.5%,193,14.1%,"13,668"
12,Cypher,0.93,3.7,4.0,1.3,53.6%,3.5%,176,8.1%,"13,617"
13,Brimstone,0.83,3.4,4.1,1.5,45.9%,2.7%,171,16.6%,"10,455"
14,Astra,0.90,3.8,4.2,1.1,50.9%,0.7%,179,11%,"2,703"
