,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.89,11.0,12.3,3.7,51.1%,13.3%,180,12.2%,"89,352"
1,Reyna,1.16,14.5,12.5,3.5,51.4%,13.1%,241,16.1%,"88,179"
2,Jett,1.12,14.0,12.6,3.3,50.2%,13.1%,231,16.2%,"87,771"
3,Raze,1.01,13.0,12.8,4.1,49.4%,10.3%,222,14.7%,"69,309"
4,Sova,0.96,11.8,12.2,4.5,49.4%,7.1%,197,10.9%,"47,991"
5,Phoenix,0.96,12.2,12.7,3.2,48%,6.8%,203,15.4%,"45,798"
6,Omen,0.96,11.9,12.3,3.7,48.6%,6.2%,195,12.9%,"41,769"
7,Killjoy,0.97,11.6,11.9,3.6,53.6%,5.9%,195,10.2%,"39,831"
8,Yoru,0.96,12.2,12.8,3.0,47.5%,4.9%,202,14.6%,"33,150"
9,Viper,0.92,11.5,12.5,4.0,48.1%,4.6%,191,12.1%,"31,059"
10,Cypher,0.91,11.4,12.5,3.7,50.6%,4.3%,180,11%,"28,713"
11,Skye,0.94,11.4,12.1,3.3,51.1%,3.6%,189,12.9%,"23,868"
12,Brimstone,0.90,11.4,12.6,4.6,50.4%,3.5%,187,12.8%,"23,460"
13,Breach,0.96,12.3,12.9,4.0,44.8%,2.2%,203,14.5%,"14,790"
14,Astra,0.99,12.2,12.3,3.7,49.3%,1.1%,200,10.6%,"7,140"
