,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Viper,0.97,14.4,14.9,6.1,55.9%,21.3%,199,10.6%,"1,734"
1,Jett,0.94,15.9,16.8,3.5,33.3%,20.6%,222,19.2%,"1,683"
2,Reyna,1.15,17.3,15.1,3.4,50%,15%,246,18.8%,"1,224"
3,Sage,1.10,16.7,15.2,4.6,47.1%,10.6%,219,8.8%,867
4,Sova,0.92,13.0,14.1,6.3,53.3%,9.4%,192,6.7%,765
5,Skye,0.99,15.9,16.0,3.7,44.4%,5.6%,206,11.9%,459
6,Raze,0.95,14.8,15.7,4.5,50%,3.8%,220,20.2%,306
7,Cypher,1.10,15.8,14.4,3.0,60%,3.1%,212,10.1%,255
8,Yoru,0.94,15.6,16.6,4.0,40%,3.1%,224,14.1%,255
9,Astra,0.95,12.7,13.3,4.0,33.3%,1.9%,182,2.6%,153
10,Omen,0.82,12.0,14.7,4.0,33.3%,1.9%,185,11.1%,153
11,Breach,0.71,13.7,19.3,4.0,0%,1.9%,176,17.1%,153
12,Killjoy,0.67,10.0,15.0,3.5,0%,1.3%,127,0%,102
13,Brimstone,0.82,14.0,17.0,0.0,0%,0.6%,244,14.3%,51
