,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.26,13.1,10.4,1.6,60.9%,22.4%,215,40.9%,"2,346"
1,Sage,0.76,8.4,11.0,1.5,37.5%,11.7%,151,27.9%,"1,224"
2,Reyna,0.88,10.6,12.1,1.7,43.5%,11.2%,177,29.1%,"1,173"
3,Phoenix,0.99,10.6,10.6,1.5,29.4%,8.3%,167,41.1%,867
4,Yoru,0.92,9.6,10.4,1.7,43.8%,7.8%,161,37.7%,816
5,Viper,0.90,9.2,10.2,1.2,53.8%,6.3%,202,15.8%,663
6,Raze,1.15,10.3,9.0,1.9,61.5%,6.3%,195,38.8%,663
7,Skye,0.95,11.8,12.5,1.3,33.3%,5.9%,153,43.7%,612
8,Sova,1.41,14.4,10.2,3.0,72.7%,5.4%,213,37.3%,561
9,Omen,0.69,8.7,12.6,3.1,71.4%,3.4%,126,44.3%,357
10,Brimstone,1.05,12.8,12.2,1.8,50%,2.9%,232,13%,306
11,Cypher,0.84,8.2,9.7,1.7,33.3%,2.9%,212,10.2%,306
12,Killjoy,0.40,4.2,10.5,0.5,50%,2.9%,93,56%,306
13,Astra,1.32,9.7,7.3,2.7,33.3%,1.5%,347,3.4%,153
14,Breach,1.38,9.0,6.5,3.0,100%,1%,245,5.6%,102
