,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.11,4.7,4.2,1.2,50.9%,15.8%,229,16.2%,"356,694"
1,Raze,1.03,4.3,4.2,1.4,50.4%,14%,220,14.9%,"316,965"
2,Reyna,1.12,4.6,4.1,1.2,51.2%,13%,224,14.7%,"293,046"
3,Sage,0.89,3.6,4.0,1.1,51.1%,9%,172,12.1%,"204,102"
4,Phoenix,0.99,4.0,4.1,1.1,51.2%,7.6%,200,14.9%,"171,156"
5,Yoru,0.90,3.8,4.2,0.9,48.5%,6.8%,181,13.1%,"154,632"
6,Sova,0.92,3.7,4.0,1.5,48.7%,6.4%,184,10.6%,"144,075"
7,Killjoy,0.92,3.6,3.9,1.2,51.1%,5%,184,10.7%,"112,506"
8,Omen,0.90,3.7,4.1,1.1,47.5%,4.3%,183,12.8%,"96,390"
9,Skye,0.94,3.9,4.1,1.2,51.1%,4.2%,187,11.5%,"94,095"
10,Viper,0.86,3.5,4.1,1.3,45.8%,4.2%,174,12.4%,"93,942"
11,Breach,0.92,3.9,4.2,1.4,49.3%,3.3%,190,14.8%,"74,307"
12,Cypher,0.93,3.8,4.0,1.1,48.8%,3%,179,9.1%,"67,728"
13,Brimstone,0.83,3.4,4.1,1.6,47.9%,2.6%,172,15.6%,"59,670"
14,Astra,0.90,3.7,4.1,1.1,41.8%,0.9%,178,10.6%,"19,992"
