,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.24,18.4,14.8,3.8,53.8%,18.2%,266,17.4%,"4,743"
1,Jett,1.10,17.5,15.9,3.9,46.8%,15.4%,251,20.1%,"4,029"
2,Sage,0.88,13.2,15.0,4.8,61.2%,13.1%,183,11.4%,"3,417"
3,Omen,0.93,13.6,14.6,5.3,53.1%,9.6%,192,10.4%,"2,499"
4,Sova,0.96,13.0,13.5,5.2,42.1%,7.4%,197,10.3%,"1,938"
5,Raze,1.00,14.8,14.9,4.8,50%,6.6%,224,15.7%,"1,734"
6,Killjoy,1.12,14.8,13.1,3.4,51.7%,5.7%,212,10%,"1,479"
7,Phoenix,1.19,17.8,14.9,4.4,53.6%,5.5%,260,14.7%,"1,428"
8,Cypher,0.97,14.1,14.6,4.3,50%,5.1%,193,8.7%,"1,326"
9,Brimstone,1.00,15.2,15.2,6.0,45%,3.9%,215,10.9%,"1,020"
10,Viper,0.92,13.4,14.6,4.4,35.7%,2.7%,197,11.7%,714
11,Skye,0.86,12.7,14.7,3.5,50%,2.3%,182,13.2%,612
12,Breach,0.78,13.1,16.7,6.0,50%,2%,175,9.2%,510
13,Yoru,0.91,13.9,15.2,3.6,44.4%,1.8%,221,12.8%,459
14,Astra,1.03,16.0,15.5,5.0,25%,0.8%,207,10.9%,204
