,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.08,12.4,11.5,1.3,48.7%,24.5%,187,47%,"7,650"
1,Sage,0.89,9.7,10.9,2.2,56.3%,10.4%,158,27.1%,"3,264"
2,Raze,0.83,10.8,13.0,1.9,51.6%,10.1%,168,38.1%,"3,162"
3,Reyna,1.20,13.3,11.1,1.7,60.3%,9.5%,197,35.2%,"2,958"
4,Phoenix,0.98,9.9,10.0,1.4,53.5%,7%,183,35.1%,"2,193"
5,Sova,1.05,11.4,10.9,2.5,59.5%,6.9%,167,32.9%,"2,142"
6,Yoru,1.04,11.8,11.4,0.8,40%,6.5%,177,45.7%,"2,040"
7,Omen,0.95,11.5,12.1,2.7,50%,5.5%,170,30.8%,"1,734"
8,Killjoy,0.91,9.7,10.7,1.0,52.2%,3.8%,175,32.9%,"1,173"
9,Cypher,0.97,10.1,10.5,1.2,54.5%,3.6%,175,26.1%,"1,122"
10,Viper,0.78,8.8,11.2,1.3,28.6%,3.4%,157,25%,"1,071"
11,Breach,1.16,12.0,10.4,2.7,55.6%,2.9%,190,39.8%,918
12,Skye,0.92,8.9,9.7,2.3,53.3%,2.4%,140,23.9%,765
13,Brimstone,0.98,12.1,12.4,3.7,53.3%,2.4%,190,19.2%,765
14,Astra,0.69,6.8,9.8,1.7,50%,1%,115,17.1%,306
