,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.13,4.8,4.3,1.2,50.3%,16%,234,15.7%,"59,874"
1,Raze,1.01,4.3,4.3,1.3,50.2%,13.9%,215,14.8%,"52,071"
2,Reyna,1.11,4.6,4.1,1.2,51.5%,12.7%,223,14.9%,"47,787"
3,Sage,0.90,3.6,4.0,1.2,49.5%,9%,176,13.1%,"33,762"
4,Phoenix,1.02,4.1,4.1,1.1,51.2%,8.2%,204,15%,"30,804"
5,Yoru,0.87,3.7,4.3,1.0,48.1%,6.7%,178,14%,"25,041"
6,Sova,0.95,3.8,4.0,1.4,51.2%,6.4%,185,10.6%,"23,919"
7,Killjoy,0.87,3.4,3.9,1.0,51.7%,4.8%,171,10.1%,"18,156"
8,Skye,0.88,3.7,4.3,1.2,46.7%,4.1%,180,11.2%,"15,402"
9,Omen,1.00,4.0,4.0,1.1,52.7%,4%,193,13.6%,"14,994"
10,Viper,0.84,3.5,4.2,1.3,44.4%,3.6%,171,10.5%,"13,668"
11,Cypher,0.92,3.7,4.0,1.0,53.7%,3.3%,176,9.7%,"12,546"
12,Breach,0.87,3.8,4.3,1.4,47.3%,3.3%,183,15.6%,"12,393"
13,Brimstone,0.82,3.3,4.1,1.5,49.8%,2.8%,165,13.9%,"10,659"
14,Astra,0.91,3.7,4.1,1.0,33.8%,1%,182,9.5%,"3,774"
