,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.11,13.9,12.6,3.4,50%,13.6%,232,16.8%,"535,500"
1,Sage,0.90,10.9,12.1,3.6,51.3%,13.4%,179,11.9%,"528,462"
2,Reyna,1.15,14.3,12.5,3.5,51%,13.1%,238,15.5%,"517,293"
3,Raze,1.00,12.8,12.7,4.1,50.4%,9.7%,220,14.6%,"381,990"
4,Sova,0.94,11.4,12.2,4.4,48.9%,7.6%,192,11%,"297,534"
5,Phoenix,0.98,12.2,12.5,3.3,49.4%,6.7%,205,15.4%,"264,639"
6,Omen,0.98,12.2,12.5,3.8,49.4%,6.1%,200,13%,"241,077"
7,Killjoy,0.96,11.4,11.9,3.6,52.6%,5.8%,194,10.6%,"227,154"
8,Viper,0.93,11.5,12.3,4.0,48.8%,5%,190,11.8%,"198,645"
9,Yoru,0.95,12.2,12.8,3.0,46.6%,4.8%,201,14.7%,"189,720"
10,Cypher,0.97,11.7,12.1,3.7,50.7%,3.8%,190,11%,"151,062"
11,Skye,0.93,11.5,12.4,3.4,49%,3.8%,190,12.8%,"149,838"
12,Brimstone,0.92,11.6,12.6,4.7,49.3%,3.1%,192,12.5%,"121,329"
13,Breach,0.95,12.2,12.8,4.2,47.6%,2.3%,201,14.5%,"90,780"
14,Astra,1.02,12.7,12.5,3.7,48.9%,1.1%,205,11.2%,"44,727"
