,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.90,13.2,14.6,4.6,47.6%,16.2%,183,11%,"6,426"
1,Reyna,1.10,16.8,15.2,4.3,46.8%,16.2%,241,14.8%,"6,426"
2,Jett,1.10,16.0,14.5,4.0,49.4%,11.4%,240,17.1%,"4,539"
3,Raze,0.92,14.2,15.5,4.9,51.8%,10.7%,214,14.2%,"4,233"
4,Omen,0.97,15.4,15.8,5.3,48.2%,7.2%,209,10.7%,"2,856"
5,Killjoy,0.93,13.7,14.7,5.0,51.9%,6.7%,206,8.2%,"2,652"
6,Brimstone,0.98,13.9,14.2,6.5,54%,6.4%,202,12.2%,"2,550"
7,Sova,0.90,12.4,13.8,5.0,35%,5.1%,196,9.7%,"2,040"
8,Phoenix,0.97,15.0,15.4,3.9,46.7%,3.9%,221,14.7%,"1,530"
9,Cypher,0.92,13.2,14.3,4.8,48.1%,3.5%,188,9.8%,"1,377"
10,Viper,0.90,13.2,14.7,4.4,42.3%,3.3%,191,8.2%,"1,326"
11,Breach,0.93,13.5,14.6,5.4,70.8%,3.1%,189,11.1%,"1,224"
12,Yoru,0.99,14.9,15.0,3.5,60.9%,3%,212,16.3%,"1,173"
13,Skye,0.92,13.4,14.6,3.9,35%,2.6%,196,13.1%,"1,020"
14,Astra,0.99,14.9,15.0,6.0,57.1%,0.9%,196,8.7%,357
