,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.04,12.1,11.6,1.9,61.1%,19.9%,193,37.2%,"2,754"
1,Sage,1.00,12.9,12.9,3.7,55.6%,13.2%,184,19.5%,"1,836"
2,Reyna,1.30,16.1,12.4,2.1,45.7%,12.9%,249,32%,"1,785"
3,Raze,0.86,9.4,10.9,2.3,52.9%,12.5%,173,35.4%,"1,734"
4,Phoenix,0.67,8.7,13.0,1.7,27.8%,6.6%,139,24.4%,918
5,Cypher,0.93,9.6,10.3,2.1,50%,6.6%,138,35.8%,918
6,Viper,1.01,11.5,11.4,4.1,53.8%,4.8%,176,17.3%,663
7,Sova,0.80,10.2,12.7,3.2,58.3%,4.4%,148,36.1%,612
8,Omen,1.09,12.7,11.7,3.5,50%,4.4%,176,28.9%,612
9,Breach,1.02,12.1,11.9,4.5,72.7%,4%,164,27.1%,561
10,Killjoy,1.02,10.2,10.0,1.6,55.6%,3.3%,173,27.2%,459
11,Yoru,1.24,10.5,8.5,1.3,37.5%,2.9%,192,27.4%,408
12,Brimstone,0.64,8.5,13.3,4.8,66.7%,2.2%,122,13.7%,306
13,Skye,1.14,14.0,12.3,4.0,75%,1.5%,199,28.6%,204
14,Astra,0.83,15.0,18.0,8.5,50%,0.7%,183,16.7%,102
