,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.10,4.6,4.2,1.2,51.5%,15.5%,226,16.3%,"59,109"
1,Raze,1.03,4.4,4.2,1.5,50.8%,14.2%,224,15%,"54,060"
2,Reyna,1.09,4.5,4.1,1.3,52.6%,13.3%,221,15.9%,"50,694"
3,Sage,0.88,3.5,4.0,1.2,50.9%,9.5%,166,11.3%,"36,159"
4,Phoenix,0.99,4.1,4.1,1.2,53.9%,7.5%,201,13.6%,"28,407"
5,Yoru,0.89,3.8,4.2,0.9,46.2%,6.2%,181,13.7%,"23,715"
6,Sova,0.94,3.8,4.0,1.6,47.7%,6%,189,9.6%,"22,644"
7,Killjoy,0.92,3.6,3.9,1.1,48.3%,5.1%,182,9.8%,"19,533"
8,Omen,0.87,3.6,4.2,1.2,48.6%,4.4%,176,12.8%,"16,677"
9,Skye,0.98,4.0,4.1,1.3,52.7%,4%,192,12.2%,"15,096"
10,Viper,0.80,3.3,4.1,1.3,43.8%,3.8%,163,12.2%,"14,331"
11,Cypher,0.98,3.9,4.0,1.1,46.7%,3.5%,186,10.4%,"13,209"
12,Breach,0.95,4.1,4.3,1.5,48.8%,3.4%,201,15.4%,"12,750"
13,Brimstone,0.87,3.6,4.2,1.8,43.1%,2.7%,182,13.7%,"10,404"
14,Astra,0.96,3.9,4.1,0.9,40.3%,1%,176,11%,"3,672"
