,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.94,11.3,12.0,3.7,52.7%,13.9%,183,11.7%,"90,015"
1,Jett,1.10,14.0,12.7,3.4,50.1%,13.3%,232,17.1%,"86,037"
2,Reyna,1.12,14.0,12.5,3.6,51%,13.1%,234,15.3%,"84,660"
3,Raze,1.02,13.1,12.9,4.5,48.8%,10.6%,228,15%,"68,442"
4,Phoenix,0.98,12.4,12.7,3.5,49.5%,6.5%,208,16.2%,"42,432"
5,Sova,0.88,11.1,12.6,4.5,50.2%,6.2%,185,10.4%,"40,239"
6,Omen,0.98,12.2,12.4,3.9,51%,6.1%,200,13.2%,"39,576"
7,Killjoy,0.98,11.7,11.9,3.6,50.5%,5.9%,198,10.3%,"38,556"
8,Viper,0.92,11.4,12.3,4.0,46.4%,4.8%,189,11.3%,"30,855"
9,Cypher,0.99,12.1,12.2,3.8,48.5%,4.7%,195,10.7%,"30,600"
10,Yoru,0.94,12.1,12.9,3.2,47.4%,4.2%,199,14.1%,"27,234"
11,Skye,0.92,11.5,12.5,3.5,49%,3.9%,188,12.3%,"24,990"
12,Brimstone,0.95,12.0,12.6,5.1,49.6%,3.2%,200,12.3%,"20,757"
13,Breach,0.92,11.9,12.9,4.2,48.7%,2.4%,196,14.8%,"15,708"
14,Astra,1.00,13.5,13.5,4.0,47.2%,1.3%,207,10.9%,"8,109"
