,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,12.4,16.5%,74.8%,8.7%,126
1,Phantom,7.1,15.3%,74.9%,9.8%,123
2,Spectre,3.8,12.6%,75.7%,11.7%,95
3,Operator,3.4,11.2%,84.9%,3.9%,149
4,Odin,2.9,9.9%,71.6%,18.5%,115
5,Ghost,2.6,18.4%,74.4%,7.2%,85
6,Ares,1.9,8.4%,73.4%,18.3%,97
7,Classic,1.8,15.5%,76.1%,8.4%,74
8,Sheriff,1.6,21.2%,72.8%,6%,104
9,Judge,1.6,12.1%,72.7%,15.2%,95
10,Guardian,1.5,19.8%,73.8%,6.5%,134
11,Bulldog,1.4,14.2%,74.8%,10.9%,106
12,Frenzy,1.4,15.4%,76%,8.6%,81
13,Marshal,1.3,21%,74.4%,4.6%,123
14,Stinger,0.9,17%,73.8%,9.3%,93
15,Bucky,0.8,15.4%,74.9%,9.8%,84
16,Shorty,0.7,13.3%,72.8%,13.9%,81
