,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,18.9,19.1%,71.3%,9.5%,133
1,Phantom,10.2,16.1%,73%,11%,130
2,Spectre,7.6,12%,74.6%,13.4%,101
3,Operator,4.8,12.3%,78.5%,9.3%,150
4,Ghost,4.4,18.4%,72.4%,9.2%,94
5,Sheriff,4.2,25.3%,68.3%,6.5%,124
6,Classic,4.1,19%,70.5%,10.5%,93
7,Odin,3.6,14.2%,65.5%,20.3%,119
8,Judge,3.3,12.4%,68.6%,19%,103
9,Ares,2.9,8.6%,68.2%,23.2%,104
10,Marshal,2.4,22.7%,71.4%,5.9%,145
11,Guardian,1.9,19.3%,69.5%,11.3%,147
12,Frenzy,1.8,17%,72.9%,10.1%,91
13,Bulldog,1.7,14.6%,71.3%,14%,114
14,Stinger,1.2,15.8%,71.8%,12.3%,99
15,Bucky,1.2,13.1%,72.7%,14.2%,93
16,Shorty,1.1,11.3%,72%,16.6%,85
