,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Ghost,6.5,14.6%,75.4%,10%,81
1,Frenzy,6.4,14.5%,73.9%,11.6%,75
2,Sheriff,6.4,15.3%,75.9%,8.7%,96
3,Spectre,6.2,11.8%,73.7%,14.4%,91
4,Classic,6.2,13%,75.1%,11.8%,73
5,Bulldog,6.1,11.7%,74.1%,14.2%,102
6,Phantom,6.1,13.6%,73.5%,12.8%,123
7,Ares,6.1,7.5%,68.7%,23.8%,96
8,Judge,6.0,11.8%,67.4%,20.8%,81
9,Odin,6.0,10.4%,69.3%,20.3%,117
10,Vandal,6.0,13.9%,73.2%,12.9%,124
11,Guardian,5.9,15.4%,75.4%,9.2%,139
12,Stinger,5.9,15.9%,71.5%,12.7%,91
13,Shorty,5.8,11.4%,65.9%,22.7%,59
14,Bucky,5.7,13.7%,70.2%,16.1%,78
15,Operator,5.6,9.7%,84.5%,5.9%,149
16,Marshal,5.2,16.3%,78.4%,5.4%,134
