,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,40.5,15.3%,73.6%,11%,125
1,Phantom,20.5,13.8%,73.5%,12.6%,121
2,Spectre,15.7,11.2%,73.9%,14.9%,95
3,Ghost,9.2,15.7%,74%,10.3%,85
4,Classic,6.8,13.4%,75.3%,11.3%,73
5,Operator,6.3,10.7%,84.4%,4.9%,149
6,Ares,5.5,7.4%,69.4%,23.1%,98
7,Sheriff,4.6,20.2%,72.6%,7.1%,105
8,Odin,3.6,9.5%,67.9%,22.6%,113
9,Guardian,2.7,16.1%,74.1%,9.8%,133
10,Judge,2.6,10.6%,70.3%,19.1%,91
11,Marshal,2.4,20.6%,73.4%,6%,125
12,Bulldog,2.4,11.6%,74.4%,14%,106
13,Frenzy,2.2,15.1%,74.3%,10.7%,80
14,Stinger,1.4,14.3%,71.7%,13.9%,90
15,Bucky,1.1,12.2%,72.8%,14.9%,80
16,Shorty,0.9,12.5%,69.6%,17.9%,74
