,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.9,21.3%,72.5%,6.1%,127
1,Phantom,7.9,19.2%,72.7%,8.1%,122
2,Spectre,3.0,16%,75.6%,8.4%,97
3,Operator,2.9,6%,91.4%,2.6%,139
4,Odin,2.7,11.5%,73.2%,15.3%,107
5,Ghost,2.2,26.3%,69.4%,4.4%,87
6,Sheriff,2.0,26.3%,68.6%,5.2%,111
7,Guardian,1.8,31.1%,67.2%,1.6%,149
8,Bulldog,1.7,15.2%,76.5%,8.3%,111
9,Classic,1.6,20.9%,72.4%,6.6%,77
10,Judge,1.6,13.6%,79.4%,7%,86
11,Marshal,1.5,21.3%,76.4%,2.2%,125
12,Frenzy,1.4,19.8%,73%,7.2%,85
13,Stinger,1.4,22.5%,68.1%,9.4%,95
14,Ares,1.4,5.3%,75.9%,18.8%,91
15,Shorty,0.5,8.5%,75.4%,16.1%,79
16,Bucky,0.3,6%,83.6%,10.4%,89
