,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,19.1,19.8%,71%,9.2%,134
1,Phantom,9.5,16.5%,73.5%,10%,128
2,Spectre,7.9,12.2%,75.1%,12.7%,99
3,Operator,5.8,12.2%,78.6%,9.2%,149
4,Sheriff,4.7,26.8%,66.9%,6.4%,126
5,Ghost,4.6,18.6%,72.6%,8.8%,92
6,Odin,3.6,12.4%,65.3%,22.3%,122
7,Classic,3.2,17.9%,72.4%,9.8%,93
8,Ares,3.2,9.8%,68.5%,21.7%,105
9,Marshal,3.0,24.7%,70%,5.3%,148
10,Judge,2.3,11.9%,70.1%,18%,104
11,Bulldog,2.2,17%,74.1%,8.9%,119
12,Guardian,1.9,21.9%,65.4%,12.7%,150
13,Frenzy,1.8,17.1%,71.2%,11.7%,92
14,Stinger,1.2,16.6%,70.9%,12.5%,100
15,Bucky,1.0,14.4%,71.1%,14.4%,94
16,Shorty,0.8,11.5%,69.3%,19.2%,84
