,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Frenzy,6.6,14.2%,74.2%,11.6%,75
1,Sheriff,6.6,15.5%,75.8%,8.7%,96
2,Bulldog,6.4,11.2%,74.8%,14.1%,100
3,Spectre,6.4,12.1%,75.3%,12.6%,89
4,Ghost,6.4,13.8%,76.8%,9.4%,80
5,Ares,6.2,7.9%,70%,22%,94
6,Guardian,6.1,14.6%,75.7%,9.8%,135
7,Classic,6.1,13.4%,74.7%,11.8%,73
8,Stinger,6.1,15.3%,72.6%,12.1%,91
9,Odin,6.0,10.7%,69.3%,20%,115
10,Phantom,6.0,13.8%,74.1%,12%,121
11,Shorty,5.9,11.3%,65.6%,23.1%,58
12,Judge,5.8,12.2%,68.3%,19.4%,79
13,Vandal,5.8,14.1%,73.6%,12.3%,122
14,Bucky,5.5,14.3%,70.5%,15.1%,78
15,Operator,5.5,10.1%,83.3%,6.5%,148
16,Marshal,5.4,16.1%,79.8%,4.1%,132
