,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,39.1,15.5%,74.1%,10.4%,125
1,Phantom,20.3,14.1%,74.1%,11.8%,120
2,Spectre,15.5,11.3%,74.4%,14.2%,94
3,Ghost,8.9,15.8%,74.2%,9.9%,84
4,Classic,6.8,13.2%,76.2%,10.6%,72
5,Operator,6.4,10.3%,85.4%,4.2%,148
6,Ares,5.7,7.8%,70.3%,21.9%,97
7,Sheriff,4.7,20.1%,72.8%,7.1%,104
8,Odin,3.8,9.4%,68.9%,21.8%,111
9,Guardian,2.7,16.6%,73.8%,9.7%,133
10,Marshal,2.5,21.8%,72.4%,5.8%,128
11,Judge,2.5,11.1%,70.5%,18.4%,91
12,Frenzy,2.3,15%,74.8%,10.2%,80
13,Bulldog,2.3,12%,75.4%,12.5%,105
14,Stinger,1.3,13.6%,73.4%,13%,89
15,Bucky,1.3,12.2%,72.1%,15.8%,82
16,Shorty,0.9,12.8%,69.5%,17.6%,71
