,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,7.3,13.9%,75.2%,10.9%,122
1,Phantom,5.4,13.1%,73.6%,13.2%,120
2,Spectre,3.8,11.6%,74.4%,14%,94
3,Ares,3.0,7.1%,74.7%,18.2%,103
4,Operator,3.0,11.6%,83.5%,5%,152
5,Odin,2.4,7.8%,76.2%,15.9%,107
6,Judge,2.3,12.4%,75.1%,12.5%,97
7,Ghost,1.9,15.4%,76.3%,8.3%,86
8,Classic,1.4,14.4%,76.5%,9%,68
9,Bucky,1.4,20%,73.1%,6.9%,102
10,Bulldog,1.1,13.7%,77.7%,8.6%,105
11,Frenzy,1.1,12.5%,80.1%,7.4%,72
12,Guardian,1.1,18.2%,75.8%,6.1%,121
13,Sheriff,1.0,26.9%,67.8%,5.3%,101
14,Stinger,0.8,21.9%,69.9%,8.2%,87
15,Marshal,0.7,17.2%,78.1%,4.7%,114
16,Shorty,0.7,3.4%,74.6%,22%,71
