,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,21.9,18.4%,71.7%,9.9%,129
1,Phantom,14.7,15.2%,74.8%,10%,131
2,Spectre,10.5,11.7%,75.9%,12.4%,101
3,Odin,7.9,7.8%,74.9%,17.3%,99
4,Sheriff,5.6,23.1%,70.7%,6.3%,117
5,Ghost,5.0,25%,70%,5%,95
6,Operator,3.9,11%,80.1%,8.8%,154
7,Classic,3.8,15.3%,76%,8.7%,79
8,Judge,2.8,12.6%,69.6%,17.9%,98
9,Ares,2.6,6.5%,70.6%,22.9%,89
10,Guardian,2.6,22.4%,71.1%,6.6%,141
11,Shorty,2.0,9.8%,74.9%,15.3%,82
12,Frenzy,1.9,17.1%,74.8%,8.1%,84
13,Marshal,1.8,33.8%,61%,5.2%,143
14,Bucky,1.6,14.1%,73.5%,12.5%,94
15,Bulldog,1.3,16.4%,73.8%,9.8%,108
16,Stinger,0.8,17.4%,72.9%,9.7%,95
