,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Phantom,6.6,13.8%,73.7%,12.5%,122
1,Ghost,6.6,15%,76.2%,8.7%,82
2,Frenzy,6.4,14.6%,75%,10.3%,76
3,Sheriff,6.3,15.8%,75.9%,8.4%,97
4,Spectre,6.2,11.8%,75%,13.3%,91
5,Ares,6.1,6.8%,69.8%,23.4%,95
6,Classic,6.1,13.8%,75.4%,10.8%,73
7,Bulldog,6.1,12%,74.4%,13.6%,102
8,Guardian,6.0,15.8%,74.9%,9.2%,141
9,Odin,6.0,10.1%,71.3%,18.7%,119
10,Vandal,5.9,13.1%,75.1%,11.7%,121
11,Shorty,5.8,11.5%,66.6%,22%,62
12,Stinger,5.8,16.1%,71.9%,12%,91
13,Judge,5.7,12.1%,68.6%,19.3%,82
14,Bucky,5.7,13.8%,71.9%,14.3%,81
15,Operator,5.6,9.5%,85.7%,4.8%,148
16,Marshal,5.4,16.3%,78.5%,5.2%,133
