,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,39.9,15.4%,74.2%,10.5%,125
1,Phantom,22.0,14%,74.3%,11.7%,122
2,Spectre,15.9,11.2%,75.2%,13.6%,95
3,Ghost,9.0,16.4%,74.4%,9.3%,85
4,Classic,6.8,13.9%,76%,10.1%,73
5,Operator,5.8,10.7%,84.6%,4.7%,149
6,Ares,5.3,7.1%,70.2%,22.7%,97
7,Sheriff,4.3,21.4%,72.2%,6.4%,106
8,Odin,3.7,9.6%,68.4%,22%,114
9,Judge,3.2,10.8%,71.4%,17.8%,92
10,Frenzy,2.5,15%,75.7%,9.3%,81
11,Bulldog,2.4,12.4%,74.6%,12.9%,107
12,Guardian,2.2,15.7%,74.9%,9.4%,130
13,Marshal,2.0,19.9%,74.4%,5.7%,123
14,Stinger,1.4,13.9%,72.7%,13.4%,89
15,Bucky,1.3,12.8%,74.1%,13.1%,83
16,Shorty,1.0,14.2%,71%,14.8%,79
