,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,14.1,17%,74.2%,8.8%,128
1,Phantom,5.6,16.7%,73.6%,9.8%,125
2,Operator,3.8,14.1%,81.9%,4%,154
3,Spectre,3.3,12.9%,74.2%,12.9%,95
4,Ghost,2.8,18%,74%,8%,85
5,Ares,2.3,8.2%,74.9%,17%,103
6,Odin,2.3,8.5%,75.1%,16.4%,110
7,Guardian,1.9,20.2%,72.8%,7%,132
8,Sheriff,1.9,22%,71.2%,6.8%,106
9,Classic,1.8,17.2%,73.7%,9.1%,74
10,Marshal,1.6,21%,75.1%,4%,128
11,Bulldog,1.5,13.9%,75%,11.1%,115
12,Judge,1.4,12.3%,71.2%,16.5%,96
13,Frenzy,1.2,15.2%,76.4%,8.4%,78
14,Shorty,0.7,13.3%,70.7%,16%,89
15,Stinger,0.7,16.8%,78%,5.2%,88
16,Bucky,0.5,13.6%,71.5%,14.9%,80
