,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,16.6,18.3%,70.8%,10.8%,138
1,Operator,7.0,11.4%,82.2%,6.4%,154
2,Phantom,5.8,15.5%,70.6%,13.9%,127
3,Ares,5.6,11.1%,68.6%,20.3%,114
4,Spectre,5.4,11.5%,72%,16.6%,101
5,Ghost,4.7,16.6%,71.3%,12.2%,89
6,Sheriff,4.2,25.9%,68.3%,5.8%,132
7,Odin,4.2,12%,67.2%,20.8%,130
8,Marshal,3.1,19.1%,77.1%,3.8%,140
9,Classic,2.6,14.5%,68.6%,16.9%,92
10,Guardian,2.2,21.1%,71.8%,7%,152
11,Judge,1.9,9.1%,60.4%,30.6%,106
12,Bucky,1.6,16.3%,63.3%,20.4%,83
13,Bulldog,1.5,16%,68.1%,16%,118
14,Stinger,1.4,8%,78.4%,13.6%,99
15,Frenzy,1.2,14.6%,68.5%,16.9%,89
16,Shorty,0.7,9.1%,65.9%,25%,111
