,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Ghost,6.5,15.7%,73.9%,10.4%,81
1,Sheriff,6.5,14.5%,75.9%,9.6%,94
2,Frenzy,6.4,14.3%,73.8%,11.8%,74
3,Classic,6.3,13.1%,74.5%,12.3%,72
4,Bulldog,6.2,12.5%,73%,14.4%,103
5,Vandal,6.1,14.3%,72.1%,13.6%,123
6,Spectre,6.1,12.9%,72.5%,14.6%,92
7,Phantom,6.0,13.8%,73.8%,12.5%,125
8,Stinger,5.9,16.1%,71.3%,12.6%,92
9,Operator,5.9,10.5%,83.9%,5.6%,153
10,Ares,5.9,8%,66.3%,25.7%,99
11,Odin,5.8,10.6%,68.6%,20.8%,116
12,Guardian,5.7,14.7%,75.8%,9.5%,140
13,Bucky,5.7,13.2%,68.9%,17.9%,75
14,Shorty,5.6,11.4%,65.2%,23.4%,58
15,Judge,5.5,11.4%,65.8%,22.9%,77
16,Marshal,5.0,17.5%,77.1%,5.4%,136
