,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,41.8,15.6%,73%,11.4%,127
1,Phantom,16.5,13.6%,72.3%,14.1%,120
2,Spectre,13.3,11.3%,72.3%,16.4%,94
3,Ghost,9.6,15.5%,73.7%,10.8%,84
4,Operator,8.1,11.5%,83.7%,4.8%,152
5,Classic,6.6,13.3%,74.6%,12.2%,74
6,Ares,5.3,8%,68.5%,23.5%,98
7,Sheriff,4.9,19.8%,73.1%,7.2%,105
8,Marshal,3.6,21.9%,72.6%,5.5%,129
9,Guardian,3.4,17.4%,73.1%,9.5%,138
10,Odin,3.4,9.9%,67.5%,22.6%,113
11,Bulldog,2.8,11.8%,73.6%,14.6%,107
12,Judge,1.9,9.8%,68.3%,21.8%,83
13,Frenzy,1.7,15.4%,72.5%,12.1%,79
14,Stinger,1.3,13.9%,70.7%,15.3%,89
15,Bucky,0.9,9.9%,72.1%,17.9%,74
16,Shorty,0.8,11.5%,67.8%,20.7%,72
