,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,9.5,15.2%,75.5%,9.3%,125
1,Phantom,6.0,14.1%,75.5%,10.4%,122
2,Spectre,3.7,12.5%,76.5%,11%,95
3,Odin,3.7,10.3%,71.6%,18.1%,121
4,Operator,3.3,8.6%,87.2%,4.2%,148
5,Ares,3.1,8.1%,73.2%,18.7%,98
6,Ghost,2.2,17%,74.1%,8.9%,83
7,Judge,1.8,11.2%,71.7%,17%,97
8,Frenzy,1.7,16%,74.3%,9.7%,84
9,Classic,1.6,14.8%,77%,8.2%,77
10,Guardian,1.5,17.5%,70.6%,11.9%,133
11,Bulldog,1.5,10.3%,77.6%,12.1%,106
12,Sheriff,1.3,16.9%,76.5%,6.6%,105
13,Marshal,1.1,18.3%,76%,5.7%,120
14,Stinger,1.0,18.6%,67.7%,13.6%,99
15,Bucky,0.9,17.5%,69%,13.5%,91
16,Shorty,0.8,14%,78%,7.9%,82
