,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,15.8,18.8%,71.3%,9.9%,137
1,Phantom,7.9,15.2%,73.2%,11.6%,131
2,Spectre,5.8,11.6%,74.8%,13.6%,102
3,Ghost,3.8,16.6%,73.5%,9.8%,95
4,Classic,3.8,18.9%,70.1%,11.1%,99
5,Operator,3.5,12.7%,74.7%,12.6%,144
6,Sheriff,3.1,24.5%,69%,6.4%,126
7,Judge,3.0,12.4%,68.3%,19.3%,107
8,Odin,2.2,12.6%,64.8%,22.6%,122
9,Frenzy,2.0,18.1%,73%,8.9%,99
10,Ares,2.0,7.5%,64%,28.5%,105
11,Marshal,1.8,18.9%,72.9%,8.2%,148
12,Guardian,1.7,14.2%,74%,11.9%,146
13,Bulldog,1.5,11.2%,69.6%,19.2%,105
14,Stinger,1.2,16.2%,67.4%,16.5%,107
15,Shorty,1.1,11%,73%,16%,88
16,Bucky,0.9,8.3%,76.4%,15.3%,94
