,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Ghost,6.4,14.5%,75.6%,10%,81
1,Sheriff,6.4,16.8%,75.8%,7.4%,98
2,Frenzy,6.2,15.1%,73.9%,11.1%,75
3,Judge,6.1,11.9%,68.2%,19.9%,84
4,Vandal,6.1,15.1%,72.5%,12.4%,128
5,Classic,6.0,13.3%,75.6%,11.1%,73
6,Guardian,6.0,15.2%,76%,8.9%,141
7,Spectre,6.0,11.9%,73.7%,14.3%,93
8,Phantom,6.0,14.5%,74%,11.6%,125
9,Stinger,6.0,15.8%,72.7%,11.5%,91
10,Ares,5.9,7.9%,67.8%,24.3%,95
11,Bulldog,5.9,12.1%,74%,13.9%,103
12,Shorty,5.7,11.7%,66.4%,22%,61
13,Operator,5.7,9.8%,84%,6.3%,149
14,Odin,5.7,10.5%,70.2%,19.3%,115
15,Bucky,5.5,14%,69.3%,16.7%,81
16,Marshal,5.0,16.2%,78.3%,5.5%,133
