,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,41.0,15.7%,73.7%,10.6%,126
1,Phantom,21.8,14.1%,73.8%,12.1%,122
2,Spectre,16.5,11.6%,74.1%,14.3%,96
3,Ghost,9.1,16%,74.3%,9.7%,85
4,Classic,6.8,13.7%,75.4%,10.9%,74
5,Operator,6.0,10.1%,84.7%,5.2%,147
6,Ares,5.6,7.5%,70.4%,22.1%,99
7,Sheriff,4.7,21.3%,71.3%,7.4%,106
8,Odin,3.8,9.4%,67.5%,23%,114
9,Judge,2.6,10.7%,70.9%,18.4%,93
10,Guardian,2.4,15.7%,75.2%,9.2%,133
11,Bulldog,2.4,11.8%,74.9%,13.4%,106
12,Frenzy,2.3,15.7%,73.9%,10.4%,81
13,Marshal,2.1,18.8%,74.6%,6.6%,121
14,Stinger,1.3,16.1%,71.1%,12.8%,92
15,Bucky,1.2,12.6%,73.3%,14.1%,83
16,Shorty,0.9,12.4%,70.3%,17.2%,75
