,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,7.0,11.7%,74.8%,13.5%,120
1,Phantom,5.4,11.7%,74.8%,13.6%,114
2,Spectre,4.1,9.8%,76%,14.3%,95
3,Ares,3.3,7.1%,69.3%,23.5%,100
4,Operator,3.0,10.7%,83.2%,6.1%,151
5,Judge,2.8,9.5%,71.3%,19.2%,96
6,Ghost,2.2,11.8%,74.3%,14%,81
7,Odin,2.0,7%,72.1%,21%,101
8,Guardian,1.6,12.8%,75.8%,11.4%,129
9,Classic,1.5,11%,75.9%,13.1%,71
10,Sheriff,1.3,15.3%,77.5%,7.2%,96
11,Frenzy,1.1,12.1%,77.2%,10.7%,75
12,Stinger,1.0,13.5%,70.2%,16.4%,92
13,Bulldog,1.0,7.5%,78.8%,13.7%,87
14,Marshal,1.0,26%,69.1%,4.9%,122
15,Bucky,0.7,17.5%,70%,12.6%,79
16,Shorty,0.7,8.1%,64%,27.9%,57
