,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,17.3,14.9%,75%,10.1%,133
1,Phantom,16.8,16.3%,72.1%,11.6%,130
2,Spectre,9.8,11.5%,74.6%,13.9%,99
3,Classic,8.8,27.4%,63.7%,8.9%,89
4,Ghost,4.0,15%,74.3%,10.7%,96
5,Operator,3.3,11.5%,79.5%,9%,156
6,Judge,3.3,11.5%,69.5%,19%,97
7,Odin,3.3,13.5%,67.3%,19.2%,131
8,Sheriff,3.1,23.3%,68%,8.6%,119
9,Ares,3.0,6%,71.2%,22.8%,108
10,Frenzy,1.9,16.2%,75.1%,8.7%,90
11,Guardian,1.9,20.7%,69.5%,9.8%,148
12,Marshal,1.8,18.3%,74.2%,7.5%,130
13,Bulldog,1.7,11.7%,69.3%,19%,119
14,Bucky,1.6,14.6%,72.1%,13.4%,93
15,Stinger,1.3,16.5%,76%,7.4%,88
16,Shorty,1.3,14.3%,72.3%,13.4%,81
