,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Frenzy,6.5,14.2%,73.9%,11.9%,76
1,Odin,6.4,9.6%,70.1%,20.3%,118
2,Ghost,6.4,13.6%,75.7%,10.6%,80
3,Spectre,6.3,11%,74%,15.1%,89
4,Sheriff,6.3,14%,77.5%,8.6%,95
5,Ares,6.3,7%,70.4%,22.6%,97
6,Judge,6.3,11.5%,67.7%,20.8%,82
7,Classic,6.2,11.6%,76.3%,12.1%,71
8,Vandal,6.1,13.1%,73.4%,13.4%,124
9,Shorty,6.1,11.5%,66.7%,21.8%,61
10,Phantom,6.1,13.1%,73.1%,13.8%,123
11,Bulldog,6.0,11%,74.8%,14.2%,101
12,Bucky,6.0,13.2%,71.7%,15.2%,80
13,Guardian,5.8,15.1%,75.8%,9%,136
14,Stinger,5.7,16.2%,70.6%,13.2%,91
15,Operator,5.4,7.9%,85.9%,6.3%,144
16,Marshal,5.3,14.5%,79.4%,6.1%,133
