,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,39.5,14.9%,74%,11.2%,124
1,Phantom,22.4,13.3%,73.9%,12.8%,121
2,Spectre,17.1,10.6%,74.2%,15.1%,95
3,Ghost,9.0,15.1%,74.3%,10.6%,84
4,Classic,6.9,12.8%,75.5%,11.8%,72
5,Operator,5.2,10.6%,84.1%,5.3%,147
6,Ares,5.1,6.8%,69.7%,23.5%,98
7,Sheriff,4.4,19.5%,73.1%,7.4%,103
8,Odin,3.3,8.6%,68.8%,22.6%,113
9,Judge,3.2,10.4%,70.1%,19.5%,92
10,Frenzy,2.3,14.3%,74.6%,11.1%,80
11,Bulldog,2.3,10.7%,74.7%,14.6%,105
12,Guardian,2.3,14.5%,75.2%,10.2%,127
13,Marshal,1.7,17.9%,75.2%,7%,118
14,Stinger,1.6,14.1%,71.5%,14.4%,91
15,Bucky,1.2,12.6%,73.7%,13.7%,81
16,Shorty,0.9,12%,68.6%,19.4%,75
